brand,title,sold_price,when_sold,item_links
Harrington × Polo Ralph Lauren × Vintage,Polo Golf 90s 00s Corduroy Velvet Check Jacket 0401AC,$91,Sold 5 minutes ago,/listings/16896292-harrington-x-polo-ralph-lauren-x-vintage-polo-golf-90s-00s-corduroy-velvet-check-jacket-0401ac
Ysl Pour Homme × Yves Saint Laurent,YSL Yves Saint Laurent Short Sleeve T-Shirt Size S M,$60,Sold 6 minutes ago,/listings/18764205-ysl-pour-homme-x-yves-saint-laurent-ysl-yves-saint-laurent-short-sleeve-t-shirt-size-s-m
Walter Van Beirendonck,Walter van Beirendonck A/W 2011 Hand on Heart Sweater *NEW*,$165,Sold 8 minutes ago,/listings/17713042-walter-van-beirendonck-walter-van-beirendonck-a-w-2011-hand-on-heart-sweater-new
Massimo Osti,Archive 90ies Tracksuit Jacket,$150,Sold 10 minutes ago,/listings/17739704-massimo-osti-archive-90ies-tracksuit-jacket
Nike × Vintage,Nike Vintage Puffer Down Jacket Fleece,$115,Sold 11 minutes ago,/listings/18182447-nike-x-vintage-nike-vintage-puffer-down-jacket-fleece
Streetwear × Supreme,Supreme long sleeve Mike Kelley big logo,$92,Sold 13 minutes ago,/listings/15640525-streetwear-x-supreme-supreme-long-sleeve-mike-kelley-big-logo
Streetwear × Young Thug,YOUNG THUG x H&M THUGGER hoodie rare S,$95,Sold 15 minutes ago,/listings/18536179-streetwear-x-young-thug-young-thug-x-h-m-thugger-hoodie-rare-s
Nudie Jeans,NUDIE JEANS THIN FINN BACK 2 BLACK Black men Jeans (29029),$50,Sold 16 minutes ago,/listings/17170241-nudie-jeans-nudie-jeans-thin-finn-back-2-black-black-men-jeans-29029
The North Face,The North Face face 700 down vest (L),$75,Sold 16 minutes ago,/listings/18824085-the-north-face-the-north-face-face-700-down-vest-l
Custom × Streetwear,Brand New Long Moon Woman T-shirt Travis Scott style,$33,Sold 18 minutes ago,/listings/17505804-custom-x-streetwear-brand-new-long-moon-woman-t-shirt-travis-scott-style
Burberry,Burberry Embossed Metallic Bronze Leather Notebook,$133,Sold 20 minutes ago,/listings/17932557-burberry-burberry-embossed-metallic-bronze-leather-notebook
Japanese Brand × Vintage,"White, warm, vintage, longsleeve shirt",$60,Sold 26 minutes ago,/listings/17690738-japanese-brand-x-vintage-white-warm-vintage-longsleeve-shirt
Arc'Teryx × Arc'Teryx Veilance,Arcteryx Polartec fleece jacket m size,$90,Sold 27 minutes ago,/listings/18556974-arc-teryx-x-arc-teryx-veilance-arcteryx-polartec-fleece-jacket-m-size
Evisu × Japanese Brand × Vintage,Vintage Evisu custom made denim jeans (33),$87,Sold 29 minutes ago,/listings/18268001-evisu-x-japanese-brand-x-vintage-vintage-evisu-custom-made-denim-jeans-33
Carhartt Wip,NWT Carhartt WIP Active Jacket Soft Teal Size M,$180,Sold 31 minutes ago,/listings/17118615-carhartt-wip-nwt-carhartt-wip-active-jacket-soft-teal-size-m
Soccer Jersey × Umbro,DERBY COUNTY Home 2015 2016 Adult Shirt Umbro Jersey Top,$37,Sold 32 minutes ago,/listings/18281762-soccer-jersey-x-umbro-derby-county-home-2015-2016-adult-shirt-umbro-jersey-top
Malcolm McLaren × Seditionaries × Vivienne Westwood,70s Destroy Bondage Muslin,$900,Sold 32 minutes ago,/listings/17870258-malcolm-mclaren-x-seditionaries-x-vivienne-westwood-70s-destroy-bondage-muslin
Carhartt × Vintage × Workers,Vintage Carhartt Active Work Jacket,$165,Sold 34 minutes ago,/listings/18497079-carhartt-x-vintage-x-workers-vintage-carhartt-active-work-jacket
Yeezy Season,YEEZY SLIDE BONE,$285,Sold 35 minutes ago,/listings/18772637-yeezy-season-yeezy-slide-bone
Fjallraven,Wmns Keb Trousers Size 29,$70,Sold 36 minutes ago,/listings/18824286-fjallraven-wmns-keb-trousers-size-29
Marcelo Burlon,Marcelo Burlon Wings Print T-Shirt Size M,$60,Sold 37 minutes ago,/listings/18750247-marcelo-burlon-marcelo-burlon-wings-print-t-shirt-size-m
Nike,Dunk High,$265,Sold 37 minutes ago,/listings/18795357-nike-dunk-high
Stone Island,Shirt jacket / Overshirt 13108,$200,Sold 38 minutes ago,/listings/18856311-stone-island-shirt-jacket-overshirt-13108
Bape,A bathing ape logo hoodie,$195,Sold 40 minutes ago,/listings/17880741-bape-a-bathing-ape-logo-hoodie
Brooklyn We Go Hard,TILL BLACK FRIDAY! CRAZY DEALS. Shirt Denim embroidery,$50,Sold about 1 hour ago,/listings/17955384-brooklyn-we-go-hard-till-black-friday-crazy-deals-shirt-denim-embroidery
Asap Rocky × Guess,A$AP Rocky Striped Tee,$75,Sold about 1 hour ago,/listings/17894762-asap-rocky-x-guess-a-ap-rocky-striped-tee
Prada,Wool Knit Roll Neck Sweater Size 52 IT / M - L Slim,$180,Sold about 1 hour ago,/listings/18839280-prada-wool-knit-roll-neck-sweater-size-52-it-m-l-slim
Yves Saint Laurent,grey YSL Knit Sweater,$165,Sold about 1 hour ago,/listings/18699398-yves-saint-laurent-grey-ysl-knit-sweater
11 By Boris Bidjan Saberi,11 By Boris Bidjan Saberi embroidered tee,$71,Sold about 1 hour ago,/listings/18033553-11-by-boris-bidjan-saberi-11-by-boris-bidjan-saberi-embroidered-tee
Our Legacy,Our Legacy Raw Silk Shirt,$90,Sold about 1 hour ago,/listings/18627109-our-legacy-our-legacy-raw-silk-shirt
Kangol × Vintage,Kangol Vintage flowered bucket hat,$22,Sold about 1 hour ago,/listings/17350338-kangol-x-vintage-kangol-vintage-flowered-bucket-hat
Jh Design × Racing,JH DESIGN Cadillac Escalade General Motors license jacket,$89,Sold about 1 hour ago,/listings/16558357-jh-design-x-racing-jh-design-cadillac-escalade-general-motors-license-jacket
Nike × Vintage,Nike Vintage Big Swoosh 90s Crewneck Sweartshirt,$142,Sold about 1 hour ago,/listings/18862112-nike-x-vintage-nike-vintage-big-swoosh-90s-crewneck-sweartshirt
Bottega Veneta,Bottega Veneta Chelsea Boots,$305,Sold about 1 hour ago,/listings/17297783-bottega-veneta-bottega-veneta-chelsea-boots
